epoch,step,lr,loss_total,bce,mse,10%_win_acc,5%_win_acc,2%_win_acc,1%_win_acc,0.5%_win_acc
1,0,1e-05,0.5949148535728455,0.6363485455513,0.2220115214586258,0.0,0.0,0.0,0.0,0.0
1,1,1.150175791059769e-05,0.5947515368461609,0.6361708641052246,0.2219780683517456,0.0,0.0,0.0,0.0,0.0
1,2,1.300351582119538e-05,0.5925962924957275,0.6339117288589478,0.22075757384300232,0.0,0.0,0.0,0.0,0.0
1,3,1.4505273731793069e-05,0.592533528804779,0.6338435411453247,0.2207435518503189,0.0,0.0,0.0,0.0,0.0
1,4,1.600703164239076e-05,0.5895915627479553,0.630756676197052,0.21910575032234192,0.0,0.0,0.0,0.0,0.0
1,5,1.750878955298845e-05,0.590657114982605,0.6318751573562622,0.21969527006149292,0.0,0.0,0.0,0.0,0.0
1,6,1.901054746358614e-05,0.5871580243110657,0.6281930804252625,0.21784260869026184,0.0,0.0,0.0,0.0,0.0
1,7,2.051230537418383e-05,0.588651180267334,0.6297651529312134,0.21862556040287018,0.0,0.0,0.0,0.0,0.0
1,8,2.201406328478152e-05,0.5843179821968079,0.6252071857452393,0.2163153737783432,0.0,0.0,0.0,0.0,0.0
1,9,2.351582119537921e-05,0.5844132304191589,0.6253069043159485,0.21637028455734253,0.0,0.0,0.0,0.0,0.0
1,10,2.5017579105976898e-05,0.580315351486206,0.6209957003593445,0.21419215202331543,0.0,0.0,0.0,0.0,0.0
1,11,2.6519337016574588e-05,0.5798120498657227,0.6204658150672913,0.21392829716205597,0.0,0.0,0.0,0.0,0.0
1,12,2.8021094927172278e-05,0.5756368041038513,0.6160698533058167,0.2117394655942917,0.0,0.0,0.0,0.0,0.0
1,13,2.9522852837769968e-05,0.5747535228729248,0.6151369214057922,0.21130332350730896,0.0,0.0,0.0,0.0,0.0
1,14,3.102461074836766e-05,0.5672423243522644,0.6072291135787964,0.2073615938425064,0.0,0.0,0.0,0.0,0.0
1,15,3.252636865896535e-05,0.5697012543678284,0.6098196506500244,0.20863604545593262,0.0,0.0,0.0,0.0,0.0
1,16,3.402812656956304e-05,0.5598286390304565,0.599419116973877,0.20351460576057434,0.0,0.0,0.0,0.0,0.0
1,17,3.552988448016073e-05,0.5622179508209229,0.6019371151924133,0.20474563539028168,0.0,0.0,0.0,0.0,0.0
1,18,3.703164239075842e-05,0.5561323165893555,0.595531165599823,0.20154313743114471,0.0,0.0,0.0,0.0,0.0
1,19,3.853340030135611e-05,0.5548463463783264,0.594174861907959,0.20088988542556763,0.0,0.0,0.0,0.0,0.0
1,20,4.00351582119538e-05,0.5414971113204956,0.5801083445549011,0.19399653375148773,0.0,0.0,0.0,0.0,0.0
1,21,4.153691612255148e-05,0.5454443693161011,0.5842683911323547,0.19602836668491364,0.0,0.0,0.0,0.0,0.0
1,22,4.303867403314917e-05,0.534958004951477,0.5732235312461853,0.19056831300258636,0.0,0.0,0.0,0.0,0.0
1,23,4.454043194374686e-05,0.5363909006118774,0.5747307538986206,0.1913323998451233,0.0,0.0,0.0,0.0,0.0
1,24,4.604218985434455e-05,0.5205962061882019,0.5580909848213196,0.18314343690872192,0.0,0.0,0.0,0.0,0.0
1,25,4.754394776494224e-05,0.5254867076873779,0.5632398724555969,0.18570861220359802,0.125,0.0,0.0,0.0,0.0
1,26,4.904570567553993e-05,0.5228310227394104,0.5604767203330994,0.1840197741985321,0.0,0.0,0.0,0.0,0.0
1,27,5.054746358613762e-05,0.5124331712722778,0.5494878888130188,0.17894059419631958,0.0,0.0,0.0,0.0,0.0
1,28,5.204922149673531e-05,0.5019631385803223,0.5384527444839478,0.17355667054653168,0.0,0.0,0.0,0.0,0.0
1,29,5.3550979407333e-05,0.5038986206054688,0.5404807925224304,0.1746593862771988,0.0,0.0,0.0,0.0,0.0
1,30,5.505273731793069e-05,0.48943421244621277,0.5252288579940796,0.16728264093399048,0.0,0.0,0.0,0.0,0.0
1,31,5.655449522852838e-05,0.4965376853942871,0.5327510833740234,0.17061713337898254,0.0,0.0,0.0,0.0,0.0
1,32,5.805625313912607e-05,0.48654302954673767,0.5221922397613525,0.1657002568244934,0.0,0.0,0.0,0.0,0.0
1,33,5.955801104972376e-05,0.4861713945865631,0.521794319152832,0.16556523740291595,0.0,0.0,0.0,0.0,0.0
1,34,6.105976896032146e-05,0.47497397661209106,0.5099801421165466,0.1599186658859253,0.0,0.0,0.0,0.0,0.0
1,35,6.256152687091914e-05,0.47413694858551025,0.5091022253036499,0.15944945812225342,0.0,0.0,0.0,0.0,0.0
1,36,6.406328478151684e-05,0.46580901741981506,0.5003182888031006,0.15522557497024536,0.0,0.0,0.0,0.0,0.0
1,37,6.556504269211452e-05,0.47518908977508545,0.5103073120117188,0.1591252237558365,0.0,0.0,0.0,0.0,0.0
1,38,6.706680060271222e-05,0.47059664130210876,0.5053703188896179,0.15763366222381592,0.0,0.0,0.0,0.0,0.0
1,39,6.85685585133099e-05,0.4618791937828064,0.49618884921073914,0.15309230983257294,0.0,0.0,0.0,0.0,0.0
1,40,7.00703164239076e-05,0.45813849568367004,0.4922265410423279,0.15134620666503906,0.0,0.0,0.0,0.0,0.0
1,41,7.157207433450528e-05,0.45463070273399353,0.488517701625824,0.1496477723121643,0.0,0.0,0.0,0.0,0.0
1,42,7.307383224510296e-05,0.45469239354133606,0.4885864853858948,0.14964567124843597,0.0,0.0,0.0,0.0,0.0
1,43,7.457559015570066e-05,0.4516337811946869,0.4853549599647522,0.14814318716526031,0.0,0.0,0.0,0.0,0.0
1,44,7.607734806629834e-05,0.44545096158981323,0.47883284091949463,0.14501415193080902,0.0,0.0,0.0,0.0,0.0
1,45,7.757910597689604e-05,0.44159719347953796,0.4747660756111145,0.14307735860347748,0.0,0.0,0.0,0.0,0.0
1,46,7.908086388749372e-05,0.4380234181880951,0.4709908962249756,0.1413162648677826,0.0,0.0,0.0,0.0,0.0
1,47,8.058262179809142e-05,0.43472176790237427,0.4675111770629883,0.13961723446846008,0.0,0.0,0.0,0.0,0.0
1,48,8.20843797086891e-05,0.4324931800365448,0.4651586413383484,0.13850413262844086,0.0,0.0,0.0,0.0,0.0
1,49,8.35861376192868e-05,0.4295203685760498,0.46201005578041077,0.13711339235305786,0.0,0.0,0.0,0.0,0.0
1,50,8.508789552988448e-05,0.42111873626708984,0.4531259834766388,0.13305377960205078,0.0,0.0,0.0,0.0,0.0
1,51,8.658965344048218e-05,0.42499595880508423,0.4572426974773407,0.13477542996406555,0.0,0.0,0.0,0.0,0.0
1,52,8.809141135107986e-05,0.4195409417152405,0.4514630436897278,0.13224199414253235,0.0,0.0,0.0,0.0,0.0
1,53,8.959316926167756e-05,0.41636794805526733,0.44809988141059875,0.13078056275844574,0.0,0.0,0.0,0.0,0.0
1,54,9.109492717227524e-05,0.47606733441352844,0.5111970901489258,0.15989945828914642,0.0,0.0,0.0,0.0,0.0
1,55,9.259668508287294e-05,0.4616200923919678,0.49609270691871643,0.1513664722442627,0.0,0.0,0.0,0.0,0.0
1,56,9.409844299347062e-05,0.4138936698436737,0.44552871584892273,0.1291784793138504,0.0,0.0,0.0,0.0,0.0
1,57,9.560020090406832e-05,0.4525125026702881,0.48646780848503113,0.14691466093063354,0.0,0.0,0.0,0.0,0.0
1,58,9.7101958814666e-05,0.4472334682941437,0.4810413122177124,0.14296287298202515,0.0,0.0,0.0,0.0,0.0
1,59,9.86037167252637e-05,0.46589964628219604,0.5005559325218201,0.15399295091629028,0.0,0.0,0.0,0.0,0.0
1,60,0.00010010547463586138,0.408907413482666,0.4402219355106354,0.12707671523094177,0.0,0.0,0.0,0.0,0.0
1,61,0.00010160723254645908,0.41003304719924927,0.4414064586162567,0.12767253816127777,0.0,0.0,0.0,0.0,0.0
1,62,0.00010310899045705676,0.40662437677383423,0.4377923905849457,0.12611226737499237,0.0,0.0,0.0,0.0,0.0
1,63,0.00010461074836765446,0.40275126695632935,0.43369147181510925,0.12428949028253555,0.0,0.0,0.0,0.0,0.0
